Date,Open Price,High Price,Low Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,RSI,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Lag_1_Close,Lag_2_Close,Lag_1_Volume,Lag_2_Volume,Close Price,Daily_Return
2023-07-11,0.5813829412627176,0.6464793807281692,0.6170155740606909,0.6407103548812892,-0.39419449177347926,-0.3736802963182722,-0.3926701149212473,-0.4113027604220846,0.08535182747809432,0.9451680418722375,1.24850749423578,-0.8289302574836162,-2.4605079731940043,-3.734593146480602,3.5383420130322003,0.5973061767935737,0.651252269121637,0.7029364101148845,0.6723105222431689,0.6326721593429981,-0.41451329807536635,-0.39663979456757326,2593.2,-0.014029884795255021
2023-07-10,0.6233515503225951,0.5917553380525444,0.6079550919415978,0.5994377700112626,-0.3971043903940895,-0.4715983978976516,-0.3971172770449011,-0.40016870977253494,0.7250163760644815,0.010816805428761816,-0.7007136100287095,-0.9939075747058217,-2.37011901379934,-3.4846434046734918,3.0608376692624315,0.583035986276945,0.64268896077557,0.7010085357296754,0.6398919842856731,0.6716921842635721,-0.39420734321145484,-0.41453550089879126,2537.3,-0.021556378219959704
2023-07-07,0.6436999668364753,0.6309303236143374,0.6338929427139036,0.6225771193007443,-0.38781174411791736,-0.4110697731461332,-0.3856524994798311,-0.41717981379158053,-0.45314128740330323,0.29472597699154895,-0.3568991887463948,-0.7760916556461386,-2.2264277836636412,-3.254473271853341,2.816990572431991,0.5757314408387111,0.6384061999459913,0.7002354343188735,0.5907809742091419,0.6392633797687708,-0.3971172555250259,-0.3942293848534881,2578.8,0.016355968943364996
2023-07-06,0.5936621581245418,0.6434991447813516,0.6161272914999955,0.6461345600443502,-0.3573331329527248,-0.3163967959706814,-0.3488396293488214,-0.3813513554059837,-0.519718617970458,0.9020982294679756,1.4655051207828145,-0.5714236067755317,-2.0442815341571974,-3.0320418569122105,2.721586063210737,0.575826295693505,0.643439273913155,0.7108226090742058,0.6272408475217726,0.5901368168620125,-0.3878245655209243,-0.3971393202649001,2618.75,0.015491701566620053
2023-07-05,0.6533479229421943,0.6520511261939592,0.5583889250547937,0.5697522161367576,-0.36503207453477526,-0.3298005706825561,-0.3610984201580592,-0.3487310133092402,0.5043973786948911,2.218803922969694,-2.1896367185873675,-0.9709735501952858,-2.0132591153336064,-2.8475744215452963,2.2535582973733925,0.5726395417120825,0.6447628351411078,0.7172683530536035,0.6623389665299555,0.6266082365512876,-0.3573458109340927,-0.38784655649875593,2492.25,-0.04830548926014322
2023-07-04,0.8032420773483189,0.7596419630566122,0.6766637480113878,0.6972723002541948,-0.3811514856947223,-0.3883539023186403,-0.3754001746817791,-0.3884415619939536,0.16433081766069935,2.0676200916731013,-3.1590806605637303,-0.41281016883030064,-1.8363983705853526,-2.66281641465738,2.2571405229808135,0.5733431355624089,0.6454799485823395,0.7179900680401063,0.5512022442637438,0.661717470685903,-0.3650447887446581,-0.3573675599824945,2611.55,0.047868392015247396
2023-07-03,0.7611419052506361,0.7690145891502279,0.760295551100861,0.7612748050540209,-0.3283768665699768,-0.2966438648163397,-0.3076056097669307,-0.32430619517729836,-0.16855583517507378,0.6032464699281997,-0.019660453117020485,0.050716223655690375,-1.5475076281142344,-2.4542722218516704,2.550381526104141,0.588158415000917,0.6532287577112049,0.7175656787678558,0.6560133981480053,0.5505455528378713,-0.38116427575689243,-0.3650665989047863,2730.65,0.04560510041929122
2023-06-30,0.7297421935611145,0.7551500132237277,0.681682544479317,0.7370675919147313,-0.2128848139601446,0.021660511499337447,-0.16672265970299766,-0.22186214561727735,-0.6815929118984416,1.8768823510256558,0.7393615479652481,0.06763993257781267,-1.297390898380374,-2.234851116330877,2.684474348151332,0.5968704082421732,0.6641558844376285,0.7308534953276331,0.7606488417994346,0.6553898990771614,-0.32838940829332547,-0.38118621386773105,2735.25,0.001684580594363938
2023-06-28,0.5971705057993487,0.7104464740214611,0.5704251537522166,0.6576940246326279,-0.24541700480582232,-0.025182153809529935,-0.21499905394987695,-0.16009916731674892,0.2785566299082685,3.16897672315351,2.8097631449767833,-0.08866938260980599,-1.1295357272208648,-2.0240235486784006,2.578531441895035,0.6011458537355593,0.671185366812172,0.7409168274686694,0.7646901771545696,0.7600584794384306,-0.21289681221845833,-0.3284109274961816,2694.3,-0.014971209213051728
2023-06-27,0.42175312205900367,0.5752992526070726,0.4403361727383733,0.5763390582359694,-0.14559241724864894,-0.02687526219418779,-0.10868362147900175,0.0753064749880151,0.7302381274815136,2.9931815704830536,3.6918444061355085,-0.5980543139782522,-1.1487144727921625,-1.859393726808438,2.008996108987084,0.6027516087327492,0.6692442912320477,0.7349613327937958,0.7287135069822268,0.7641010946329044,-0.24542915614919977,-0.21291741468248135,2541.25,-0.056805107077905315
