IVZGOLDINAV,No data fetched,2024-09-06 08:01:35
IVZGOLDINAV,Missing data,2024-09-06 08:01:35
HDFCETFINAV,No data fetched,2024-09-06 08:01:35
HDFCETFINAV,Missing data,2024-09-06 08:01:35
ICICIGDINAV,No data fetched,2024-09-06 08:01:36
ICICIGDINAV,Missing data,2024-09-06 08:01:36
MON100INAV,No data fetched,2024-09-06 08:01:36
MON100INAV,Missing data,2024-09-06 08:01:36
BSLGOLDINAV,No data fetched,2024-09-06 08:01:36
BSLGOLDINAV,Missing data,2024-09-06 08:01:36
AXISGOLDINV,No data fetched,2024-09-06 08:01:36
AXISGOLDINV,Missing data,2024-09-06 08:01:36
IDBIGDINAV,No data fetched,2024-09-06 08:01:37
IDBIGDINAV,Missing data,2024-09-06 08:01:37
ICICISINAV,No data fetched,2024-09-06 08:01:37
ICICISINAV,Missing data,2024-09-06 08:01:37
GOLDBSINAV,No data fetched,2024-09-06 08:01:37
GOLDBSINAV,Missing data,2024-09-06 08:01:37
KOTAKGDINAV,No data fetched,2024-09-06 08:01:37
KOTAKGDINAV,Missing data,2024-09-06 08:01:37
SBIGETSINAV,No data fetched,2024-09-06 08:01:38
SBIGETSINAV,Missing data,2024-09-06 08:01:38
QGOLDLFINV,No data fetched,2024-09-06 08:01:38
QGOLDLFINV,Missing data,2024-09-06 08:01:38
GOLDSHAINV,No data fetched,2024-09-06 08:01:38
GOLDSHAINV,Missing data,2024-09-06 08:01:38
HNGSNGINAV,No data fetched,2024-09-06 08:01:38
HNGSNGINAV,Missing data,2024-09-06 08:01:38
SILVERINAV,No data fetched,2024-09-06 08:01:39
SILVERINAV,Missing data,2024-09-06 08:01:39
KTKSENSINAV,No data fetched,2024-09-06 08:01:39
KTKSENSINAV,Missing data,2024-09-06 08:01:39
SBISENSINAV,No data fetched,2024-09-06 08:01:39
SBISENSINAV,Missing data,2024-09-06 08:01:39
MOM100INAV,No data fetched,2024-09-06 08:01:39
MOM100INAV,Missing data,2024-09-06 08:01:39
ICICINIINAV,No data fetched,2024-09-06 08:01:40
ICICINIINAV,Missing data,2024-09-06 08:01:40
ICICINFINAV,No data fetched,2024-09-06 08:01:40
ICICINFINAV,Missing data,2024-09-06 08:01:40
NIF100BINAV,No data fetched,2024-09-06 08:01:41
NIF100BINAV,Missing data,2024-09-06 08:01:41
KOTAKNIINAV,No data fetched,2024-09-06 08:01:41
KOTAKNIINAV,Missing data,2024-09-06 08:01:41
CPSEETFINAV,No data fetched,2024-09-06 08:01:41
CPSEETFINAV,Missing data,2024-09-06 08:01:41
SENSEXBINAV,No data fetched,2024-09-06 08:01:41
SENSEXBINAV,Missing data,2024-09-06 08:01:41
SETFBSEINAV,No data fetched,2024-09-06 08:01:42
SETFBSEINAV,Missing data,2024-09-06 08:01:42
UTISENSINAV,No data fetched,2024-09-06 08:01:42
UTISENSINAV,Missing data,2024-09-06 08:01:42
UTINIFTINAV,No data fetched,2024-09-06 08:01:42
UTINIFTINAV,Missing data,2024-09-06 08:01:42
LICE50INAV,No data fetched,2024-09-06 08:01:42
LICE50INAV,Missing data,2024-09-06 08:01:42
LICETFINAV,No data fetched,2024-09-06 08:01:43
LICETFINAV,Missing data,2024-09-06 08:01:43
HDNIFINAV,No data fetched,2024-09-06 08:01:43
HDNIFINAV,Missing data,2024-09-06 08:01:43
SXETFINAV,No data fetched,2024-09-06 08:01:43
SXETFINAV,Missing data,2024-09-06 08:01:43
LICFNHINAV,No data fetched,2024-09-06 08:01:43
LICFNHINAV,Missing data,2024-09-06 08:01:43
ICICINVINAV,No data fetched,2024-09-06 08:01:44
ICICINVINAV,Missing data,2024-09-06 08:01:44
ICICIMCINAV,No data fetched,2024-09-06 08:01:44
ICICIMCINAV,Missing data,2024-09-06 08:01:44
BSLSENEINAV,No data fetched,2024-09-06 08:01:44
BSLSENEINAV,Missing data,2024-09-06 08:01:44
IDFSENSINAV,No data fetched,2024-09-06 08:01:44
IDFSENSINAV,Missing data,2024-09-06 08:01:44
ICICILOINAV,No data fetched,2024-09-06 08:01:45
ICICILOINAV,Missing data,2024-09-06 08:01:45
UTINEXTINAV,No data fetched,2024-09-06 08:01:45
UTINEXTINAV,Missing data,2024-09-06 08:01:45
ICICIB2INAV,No data fetched,2024-09-06 08:01:45
ICICIB2INAV,Missing data,2024-09-06 08:01:45
LIQUIDEINAV,No data fetched,2024-09-06 08:01:45
LIQUIDEINAV,Missing data,2024-09-06 08:01:45
ICICI50INAV,No data fetched,2024-09-06 08:01:46
ICICI50INAV,Missing data,2024-09-06 08:01:46
ICICINXINAV,No data fetched,2024-09-06 08:01:47
ICICINXINAV,Missing data,2024-09-06 08:01:47
ICICILIINAV,No data fetched,2024-09-06 08:01:47
ICICILIINAV,Missing data,2024-09-06 08:01:47
SETFSN5INAV,No data fetched,2024-09-06 08:01:47
SETFSN5INAV,Missing data,2024-09-06 08:01:47
MAN50ETINAV,No data fetched,2024-09-06 08:01:48
MAN50ETINAV,Missing data,2024-09-06 08:01:48
ABSLNN5INAV,No data fetched,2024-09-06 08:01:48
ABSLNN5INAV,Missing data,2024-09-06 08:01:48
UTISXN5INAV,No data fetched,2024-09-06 08:01:48
UTISXN5INAV,Missing data,2024-09-06 08:01:48
ICICIPBINAV,No data fetched,2024-09-06 08:01:49
ICICIPBINAV,Missing data,2024-09-06 08:01:49
SNXT50BINAV,No data fetched,2024-09-06 08:01:49
SNXT50BINAV,Missing data,2024-09-06 08:01:49
ICICIBAINAV,No data fetched,2024-09-06 08:01:49
ICICIBAINAV,Missing data,2024-09-06 08:01:49
ABSLBANINAV,No data fetched,2024-09-06 08:01:49
